ORF	Gene	Total Intensity 488nm	Mean Intensity 488nm	Total Intensity 561nm	Mean Intensity 561nm	Cell Count
YPL198W	RPL7B	247163.43735942108	239.65842558295364	129831.51655534709	126.29931456714017	3731
YIL039W	TED1	240167.08274644206	239.66475608190532	182563.55464304387	183.58404997095556	3443
YPL091W	GLR1	214756.34014104496	239.67058602021072	206373.02415609546	230.05679526553428	4651
YGL187C	COX4	227941.6498844041	239.6754903725818	287777.9801566754	302.2691440554096	4187
YPR025C	CCL1	263466.838476012	239.684923511994	130788.76995202398	119.28192994752624	2668
YOR005C	DNL4	241730.9867561201	239.69386759815242	102952.5814896074	102.81100705080831	4330
YIL157C	COA1	254589.0316505407	239.69408550939102	332511.9833591349	301.402632606716	1757
YDR214W	AHA1	258303.3921722488	239.69461447634237	206992.54132908027	190.15125464646465	3762
YMR060C	SAM37	278520.0925916168	239.69512007185628	124459.7413760479	108.89664829341318	1670
YNL121C	TOM70	250683.38999743343	239.70261848251522	198673.6271928136	188.21364779916587	3117
YHR197W	RIX1	218472.87210928014	239.71170787727667	104525.47221812663	114.08471711621856	4612
YGL213C	SKI8	273934.54802205256	239.71476308736217	177128.76467910656	154.6869540599378	3537
YFR017C	IGD1	242982.8044409867	239.7175951385199	127965.87675749525	125.3915394914611	2635
YDR319C	YFT2	259152.93022837708	239.71775353741498	128423.58248979592	119.23134432458698	2058
YJL108C	PRM10	249016.15510441855	239.71918145746318	106528.01535722137	103.32299037151023	4549
YGL012W	ERG4	268836.8616978365	239.7365236927026	226583.90593179315	204.23299648331502	2727
YHR101C	BIG1	252314.34455315748	239.75214309752198	115869.67103117506	110.93231477218227	2502
YLR067C	PET309	223405.97257917508	239.76616867608885	124942.73545774445	132.5120691202769	3467
YLR206W	ENT2	264781.4822406915	239.77290809175534	151327.76338231383	137.97461742021275	3008
YLR389C	STE23	269457.225283707	239.79203085799702	162581.9892155456	144.5276881793722	3345
YLR017W	MEU1	246630.69321258942	239.79506783118742	221770.96303805435	217.61253076680973	3495
YPL067C	YPL067C	232191.3077984252	239.79514583464567	164975.4603559055	170.63461360367455	3810
YOR162C	YRR1	279587.6924963916	239.7988758173831	144421.80415437714	125.00569394101036	3187
YBR276C	PPS1	280353.1599478623	239.81026492179353	149514.2352408759	127.61073072992701	1918
YDL176W	YDL176W	244706.9504338526	239.81174607300628	109541.72285468497	107.71464875610323	4301
YCR035C	RRP43	257226.2536058282	239.81509789366052	121821.99848006136	114.14279027096114	3912
YGL063W	PUS2	246559.96991562747	239.82065751658266	106170.16763969223	103.79529278853806	3769
YOL109W	ZEO1	225326.8405738689	239.82631978301018	220393.85994090492	234.34941468144044	4332
YBR258C	SHG1	237494.15752076003	239.82936768824771	129696.8659007741	129.25291515482053	2842
YDR441C	APT2	289756.4009739218	239.83118486960882	190084.83334202608	158.77608264292877	1994
YGL244W	RTF1	240499.75422945205	239.8379205136986	125681.99479366439	123.8714549015411	2336
YPR005C	HAL1	286984.8744619195	239.83968870278636	123235.82755665635	104.44310907120743	3230
YKL138C-A	HSK3	248137.47975757575	239.84372969303425	110388.38134986226	106.06809163715072	2541
YML041C	VPS71	267928.612151751	239.84869597276264	117436.453923476	105.48550241893645	1542
YLR390W	ECM19	237389.65583949914	239.85021726807057	104678.95333978372	104.50316984632897	1757
YNL200C	YNL200C	234855.7216243597	239.86640087080252	104526.7456220831	105.72821535002846	1757
YIL070C	MAM33	248423.54783456973	239.86705768545997	221001.79716097924	216.0261484866469	2696
YIL147C	SLN1	252182.30712161414	239.8673153040354	124139.21441569927	117.6610725594251	3618
YPL001W	HAT1	235380.21747809602	239.86824767481048	116837.46714153329	119.18467354043807	4748
YCL056C	PEX34	242263.7755404934	239.87941349613754	122189.31419137803	120.27494741589834	4013
YDR392W	SPT3	227324.53448420222	239.885985521327	117666.76978199052	123.38013807266982	2532
YGR089W	NNF2	284647.54513490957	239.8969708854891	123689.89798794623	105.51176313861845	2157
YFR037C	RSC8	230516.47175579256	239.90290962118425	131361.57191026112	135.43441715336522	2719
YGL161C	YIP5	248545.25243411618	239.91149418294188	140698.60397330037	134.94540509270703	4045
YJL191W	RPS14B	266955.24141920643	239.91730549166186	165635.65117538816	147.79250922369178	1739
YPL127C	HHO1	285156.3897925819	239.92046907814188	156313.67202880807	132.76381932301044	2777
YPR082C	DIB1	231570.71999921292	239.92140283746556	186493.77721133412	192.09719536402991	2541
YNL039W	BDP1	263796.263544131	239.92856902183803	133575.82811737945	121.64566298908098	2198
